amount,day,hour,timestamp
12.56879044300647,9,12,2015-09-09 12:00:00
12.240944123314065,9,13,2015-09-09 13:00:00
12.527706620510601,9,14,2015-09-09 14:00:00
13.020799676898223,9,15,2015-09-09 15:00:00
13.278156209987198,9,16,2015-09-09 16:00:00
13.26453642384106,9,17,2015-09-09 17:00:00
11.91620836054866,9,18,2015-09-09 18:00:00
11.869410533658876,9,19,2015-09-09 19:00:00
11.876304741223306,9,20,2015-09-09 20:00:00
12.932144241954246,9,21,2015-09-09 21:00:00
14.230843283582091,9,22,2015-09-09 22:00:00
12.652252964426877,9,23,2015-09-09 23:00:00
11.398344370860928,10,0,2015-09-10 00:00:00
10.420526793823797,10,1,2015-09-10 01:00:00
10.383417910447761,10,2,2015-09-10 02:00:00
11.132352941176471,10,3,2015-09-10 03:00:00
13.47655601659751,10,4,2015-09-10 04:00:00
15.547677261613693,10,5,2015-09-10 05:00:00
14.82939841089671,10,6,2015-09-10 06:00:00
13.743720930232557,10,7,2015-09-10 07:00:00
14.239927661040303,10,8,2015-09-10 08:00:00
14.29420415879017,10,9,2015-09-10 09:00:00
13.433276740237691,10,10,2015-09-10 10:00:00
13.31186440677966,10,11,2015-09-10 11:00:00
13.57820129546587,10,12,2015-09-10 12:00:00
13.113232323232324,10,13,2015-09-10 13:00:00
12.993729508196722,10,14,2015-09-10 14:00:00
13.574560247965906,10,15,2015-09-10 15:00:00
13.289014869888474,10,16,2015-09-10 16:00:00
12.241706970128023,10,17,2015-09-10 17:00:00
11.641770381090208,10,18,2015-09-10 18:00:00
11.3768098848638,10,19,2015-09-10 19:00:00
11.177136452787895,10,20,2015-09-10 20:00:00
11.044015724221348,10,21,2015-09-10 21:00:00
11.697596656217346,10,22,2015-09-10 22:00:00
11.55626871257485,10,23,2015-09-10 23:00:00
11.909888178913738,11,0,2015-09-11 00:00:00
11.454512372634643,11,1,2015-09-11 01:00:00
11.386586826347305,11,2,2015-09-11 02:00:00
11.847113884555382,11,3,2015-09-11 03:00:00
13.320815899581591,11,4,2015-09-11 04:00:00
14.848009153318078,11,5,2015-09-11 05:00:00
14.635722284434491,11,6,2015-09-11 06:00:00
14.052217030114226,11,7,2015-09-11 07:00:00
14.076834008097165,11,8,2015-09-11 08:00:00
13.785185185185185,11,9,2015-09-11 09:00:00
13.513658977838082,11,10,2015-09-11 10:00:00
13.662579310344828,11,11,2015-09-11 11:00:00
12.916868160500261,11,12,2015-09-11 12:00:00
13.023192927717108,11,13,2015-09-11 13:00:00
13.805072886297378,11,14,2015-09-11 14:00:00
14.001781778104334,11,15,2015-09-11 15:00:00
13.54523092712966,11,16,2015-09-11 16:00:00
12.836301369863014,11,17,2015-09-11 17:00:00
12.150271611386785,11,18,2015-09-11 18:00:00
11.939012535175236,11,19,2015-09-11 19:00:00
11.942172458172458,11,20,2015-09-11 20:00:00
12.881260525644297,11,21,2015-09-11 21:00:00
12.756324655436448,11,22,2015-09-11 22:00:00
13.0558878036564,11,23,2015-09-11 23:00:00
13.111958237840591,12,0,2015-09-12 00:00:00
12.485891583452212,12,1,2015-09-12 01:00:00
12.127000996346728,12,2,2015-09-12 02:00:00
12.655377593360996,12,3,2015-09-12 03:00:00
12.813731762065096,12,4,2015-09-12 04:00:00
13.914917257683216,12,5,2015-09-12 05:00:00
14.451125654450262,12,6,2015-09-12 06:00:00
14.21131498470948,12,7,2015-09-12 07:00:00
13.874585937500001,12,8,2015-09-12 08:00:00
13.10131805157593,12,9,2015-09-12 09:00:00
12.696364080039043,12,10,2015-09-12 10:00:00
12.846491071428572,12,11,2015-09-12 11:00:00
12.63818783616053,12,12,2015-09-12 12:00:00
12.53916066129716,12,13,2015-09-12 13:00:00
12.86249327698809,12,14,2015-09-12 14:00:00
12.758317097749412,12,15,2015-09-12 15:00:00
12.948593891744784,12,16,2015-09-12 16:00:00
12.75256376544833,12,17,2015-09-12 17:00:00
12.736313131313132,12,18,2015-09-12 18:00:00
12.511921158869626,12,19,2015-09-12 19:00:00
12.114047564072964,12,20,2015-09-12 20:00:00
12.401953659820958,12,21,2015-09-12 21:00:00
13.27841810659528,12,22,2015-09-12 22:00:00
13.049350123678884,12,23,2015-09-12 23:00:00
12.798122807017542,13,0,2015-09-13 00:00:00
12.246431339977851,13,1,2015-09-13 01:00:00
12.49823399558499,13,2,2015-09-13 02:00:00
12.749132492113564,13,3,2015-09-13 03:00:00
13.28042355371901,13,4,2015-09-13 04:00:00
13.87967105263158,13,5,2015-09-13 05:00:00
14.764566929133858,13,6,2015-09-13 06:00:00
14.178975032851513,13,7,2015-09-13 07:00:00
13.687742594484167,13,8,2015-09-13 08:00:00
12.958810068649885,13,9,2015-09-13 09:00:00
12.300058173356602,13,10,2015-09-13 10:00:00
12.611596385542168,13,11,2015-09-13 11:00:00
12.176420581655481,13,12,2015-09-13 12:00:00
13.064517019319226,13,13,2015-09-13 13:00:00
12.781968535699878,13,14,2015-09-13 14:00:00
13.17304661851609,13,15,2015-09-13 15:00:00
12.990886454183268,13,16,2015-09-13 16:00:00
12.235432548889627,13,17,2015-09-13 17:00:00
12.397848016139879,13,18,2015-09-13 18:00:00
12.449056203605515,13,19,2015-09-13 19:00:00
12.25481632653061,13,20,2015-09-13 20:00:00
12.271906225980015,13,21,2015-09-13 21:00:00
13.1493156042237,13,22,2015-09-13 22:00:00
13.288659020732245,13,23,2015-09-13 23:00:00
11.589184060721063,14,0,2015-09-14 00:00:00
11.101338432122372,14,1,2015-09-14 01:00:00
11.502086230876216,14,2,2015-09-14 02:00:00
11.368238434163702,14,3,2015-09-14 03:00:00
14.19023569023569,14,4,2015-09-14 04:00:00
16.083518930957684,14,5,2015-09-14 05:00:00
14.356246498599441,14,6,2015-09-14 06:00:00
13.648148148148149,14,7,2015-09-14 07:00:00
13.438318670576734,14,8,2015-09-14 08:00:00
12.704425204425204,14,9,2015-09-14 09:00:00
12.747819850831899,14,10,2015-09-14 10:00:00
12.832048192771085,14,11,2015-09-14 11:00:00
12.458548192771083,14,12,2015-09-14 12:00:00
12.27036496350365,14,13,2015-09-14 13:00:00
12.454363535297388,14,14,2015-09-14 14:00:00
12.729152291769346,14,15,2015-09-14 15:00:00
12.250538641686184,14,16,2015-09-14 16:00:00
11.55181460428509,14,17,2015-09-14 17:00:00
11.289379148770012,14,18,2015-09-14 18:00:00
11.001050929668553,14,19,2015-09-14 19:00:00
11.698440721649485,14,20,2015-09-14 20:00:00
12.037608486017358,14,21,2015-09-14 21:00:00
12.699923664122137,14,22,2015-09-14 22:00:00
12.12921686746988,14,23,2015-09-14 23:00:00
11.32812121212121,15,0,2015-09-15 00:00:00
10.719095528455284,15,1,2015-09-15 01:00:00
11.331562974203338,15,2,2015-09-15 02:00:00
11.983908045977012,15,3,2015-09-15 03:00:00
13.801187648456057,15,4,2015-09-15 04:00:00
15.516939890710383,15,5,2015-09-15 05:00:00
