distance,day,hour,timestamp
2.50251572327044,8,17,2015-09-08 17:00:00
2.437538772757923,8,18,2015-09-08 18:00:00
2.6081674673987645,8,19,2015-09-08 19:00:00
2.620227018980275,8,20,2015-09-08 20:00:00
2.9184849804092297,8,21,2015-09-08 21:00:00
3.4719903846153843,8,22,2015-09-08 22:00:00
3.5749220103986135,8,23,2015-09-08 23:00:00
3.462242472266244,9,0,2015-09-09 00:00:00
3.4979664804469275,9,1,2015-09-09 01:00:00
2.778097087378641,9,2,2015-09-09 02:00:00
3.1387743732590527,9,3,2015-09-09 03:00:00
3.6276822916666664,9,4,2015-09-09 04:00:00
4.13875,9,5,2015-09-09 05:00:00
3.926571782178218,9,6,2015-09-09 06:00:00
2.9498132678132682,9,7,2015-09-09 07:00:00
2.749610150790732,9,8,2015-09-09 08:00:00
2.91084,9,9,2015-09-09 09:00:00
2.7551446945337625,9,10,2015-09-09 10:00:00
2.7234447821681864,9,11,2015-09-09 11:00:00
2.7579492284718765,9,12,2015-09-09 12:00:00
2.6083574181117535,9,13,2015-09-09 13:00:00
2.7048593682388575,9,14,2015-09-09 14:00:00
2.710480613893376,9,15,2015-09-09 15:00:00
2.5377304737516004,9,16,2015-09-09 16:00:00
2.6432192788815305,9,17,2015-09-09 17:00:00
2.518451992161986,9,18,2015-09-09 18:00:00
2.6448587373561216,9,19,2015-09-09 19:00:00
2.781480275063337,9,20,2015-09-09 20:00:00
3.1584296238852265,9,21,2015-09-09 21:00:00
3.561320895522388,9,22,2015-09-09 22:00:00
3.2683695652173914,9,23,2015-09-09 23:00:00
2.898291390728477,10,0,2015-09-10 00:00:00
2.5187284287011806,10,1,2015-09-10 01:00:00
2.5229253731343286,10,2,2015-09-10 02:00:00
2.6991176470588236,10,3,2015-09-10 03:00:00
3.401307053941909,10,4,2015-09-10 04:00:00
4.402151589242054,10,5,2015-09-10 05:00:00
3.9832576617480138,10,6,2015-09-10 06:00:00
3.014706976744186,10,7,2015-09-10 07:00:00
2.8901825697554258,10,8,2015-09-10 08:00:00
2.901262759924385,10,9,2015-09-10 09:00:00
2.7904117147707974,10,10,2015-09-10 10:00:00
2.7628329297820824,10,11,2015-09-10 11:00:00
2.8938415545590432,10,12,2015-09-10 12:00:00
2.9063232323232326,10,13,2015-09-10 13:00:00
2.654184426229508,10,14,2015-09-10 14:00:00
2.7816815187911663,10,15,2015-09-10 15:00:00
2.660472118959108,10,16,2015-09-10 16:00:00
2.36452347083926,10,17,2015-09-10 17:00:00
2.327023637240714,10,18,2015-09-10 18:00:00
2.5000898623982026,10,19,2015-09-10 19:00:00
2.549473241804427,10,20,2015-09-10 20:00:00
2.6236861203507713,10,21,2015-09-10 21:00:00
2.8688261929641237,10,22,2015-09-10 22:00:00
2.8033158682634736,10,23,2015-09-10 23:00:00
3.024898828541001,11,0,2015-09-11 00:00:00
2.9453129548762735,11,1,2015-09-11 01:00:00
2.9176047904191615,11,2,2015-09-11 02:00:00
3.058252730109204,11,3,2015-09-11 03:00:00
3.6270502092050214,11,4,2015-09-11 04:00:00
4.166453089244851,11,5,2015-09-11 05:00:00
3.988868980963046,11,6,2015-09-11 06:00:00
3.142294911734164,11,7,2015-09-11 07:00:00
2.9512874493927126,11,8,2015-09-11 08:00:00
2.9474931773879143,11,9,2015-09-11 09:00:00
2.942804161013116,11,10,2015-09-11 10:00:00
3.012133333333333,11,11,2015-09-11 11:00:00
2.8508025013027622,11,12,2015-09-11 12:00:00
2.9141861674466982,11,13,2015-09-11 13:00:00
2.8692919616826322,11,14,2015-09-11 14:00:00
2.9112527553269656,11,15,2015-09-11 15:00:00
2.7263599042080053,11,16,2015-09-11 16:00:00
2.579216795711733,11,17,2015-09-11 17:00:00
2.5713267171585272,11,18,2015-09-11 18:00:00
2.620498848810437,11,19,2015-09-11 19:00:00
2.7325559845559844,11,20,2015-09-11 20:00:00
3.1811380454197495,11,21,2015-09-11 21:00:00
3.0983818274629917,11,22,2015-09-11 22:00:00
3.179489105935387,11,23,2015-09-11 23:00:00
3.215233002291826,12,0,2015-09-12 00:00:00
3.0977032810271043,12,1,2015-09-12 01:00:00
3.0737927598804387,12,2,2015-09-12 02:00:00
3.2551618257261414,12,3,2015-09-12 03:00:00
3.4118294051627385,12,4,2015-09-12 04:00:00
3.83192671394799,12,5,2015-09-12 05:00:00
4.0044502617801045,12,6,2015-09-12 06:00:00
3.896758409785933,12,7,2015-09-12 07:00:00
3.6563515624999994,12,8,2015-09-12 08:00:00
3.1639770773638967,12,9,2015-09-12 09:00:00
3.0156954612005857,12,10,2015-09-12 10:00:00
